Stock,Strategy,Total_Trades,Win_Rate,Total_Return,Sharpe_Ratio,Sortino_Ratio,Max_Drawdown,Profit_Factor
BAJFINANCE,MA_Envelopes,41,43.90243902439025,-12.007198305474551,-0.7100337262600586,-0.2250358591417588,-17.142151042845672,0.48666218144881945
BAJFINANCE,GMMA,32,46.875,19.908794285564202,0.5351039785908228,0.6496822199083032,-11.296380883048549,1.3441342230188
BAJFINANCE,Momentum_Zero,42,38.095238095238095,5.677985432784903,0.16472907599472583,0.13140588150376745,-20.6881419957128,1.092204139353205
BAJFINANCE,Ascending_Triangle,9,33.33333333333333,-0.9052283374373219,-0.031637114355208315,-0.01818633127026253,-8.378624236137945,0.927466121009225
BHARTIARTL,ADX_DMI_OBV,7,57.14285714285714,9.556632914363785,0.5265950509547801,0.35217761432700745,-3.9355327155656457,2.4293827020375156
BHARTIARTL,CCI_Divergence,29,34.48275862068966,-1.4457818093350796,-0.00333700801790666,-0.002942654145134635,-21.143600186661498,0.9644029837307396
BHARTIARTL,StochRSI_MACD,24,62.5,46.36907546894189,1.0726061275914185,0.7666021380070376,-6.359271444357721,3.0815877553137385
BHARTIARTL,TDI,102,36.27450980392157,2.485278270719733,0.10541783602670671,0.1147477253184831,-29.895274432785595,1.0191378969166176
BHARTIARTL,MA_Envelopes,35,65.71428571428571,6.783160910067353,0.412935625848454,0.15587570792132444,-4.3288472924405434,1.7251242125160868
BHARTIARTL,GMMA,30,33.33333333333333,-26.16336156933436,-0.5749655327649144,-0.7434937918849984,-30.460865387900377,0.5821486898695383
BHARTIARTL,Momentum_Zero,45,44.44444444444444,23.82656583837216,0.5159532443429138,0.5338468554944853,-13.178106264066436,1.3973698500844614
BHARTIARTL,Ascending_Triangle,18,38.88888888888889,3.8823588240479148,0.1568338818284311,0.1538456294003872,-8.252597101538823,1.1641844879407413
BPCL,ADX_DMI_OBV,5,0.0,-9.848953118094883,-0.7494173763149099,-0.26610094119752875,-11.309491891453813,0.0
BPCL,CCI_Divergence,14,28.57142857142857,-5.0512633364502255,-0.15343904111249232,-0.11952771502884073,-12.713563572005102,0.7515984525829628
BPCL,StochRSI_MACD,12,41.66666666666667,4.623782960289187,0.18102502886156127,0.0856649244368152,-12.15846535889719,1.3249913552673922
BPCL,TDI,99,27.27272727272727,-36.81903194903719,-0.5526772712278337,-0.5569723252452762,-43.24430696587018,0.6937627408976055
BPCL,MA_Envelopes,57,63.1578947368421,-6.730792629186544,-0.3419461048570751,-0.11541397369922204,-12.566622658906704,0.7314677658026345
BPCL,GMMA,34,50.0,31.703369262148044,0.7848273983881882,0.9514447005264454,-6.660044610087102,1.649917461518901
BPCL,Momentum_Zero,47,31.914893617021278,-5.869322297534104,-0.11239248115632686,-0.09120736779736646,-21.279435235268725,0.9052152592780879
BPCL,Ascending_Triangle,15,40.0,4.431262906454722,0.18708364471582647,0.09093019125382627,-11.206769278937454,1.2494862662284472
BRITANNIA,ADX_DMI_OBV,9,22.22222222222222,-6.38727765190805,-0.27922834791325396,-0.09882731673264777,-6.38727765190805,0.5146637701397276
BRITANNIA,CCI_Divergence,29,55.172413793103445,32.61982386919088,0.6653998432441615,0.6897767854952823,-11.1033840909004,2.120975024433041
BRITANNIA,StochRSI_MACD,14,35.714285714285715,3.66830748279157,0.19088706121616245,0.09625641887755187,-11.370910095112125,1.2570024368777066
BRITANNIA,TDI,109,32.11009174311927,-16.6826887041874,-0.17947342702967808,-0.20923934984640818,-30.78076280245186,0.8654489869472594
BRITANNIA,MA_Envelopes,28,53.57142857142857,-0.7171844159458415,-0.007433613927405652,-0.0037017740356458644,-8.319504506251311,0.9557869415160919
BRITANNIA,GMMA,41,31.70731707317073,-7.296998859512183,-0.19698136007845807,-0.18314312725261608,-11.97418740270933,0.866217895778708
BRITANNIA,Momentum_Zero,53,37.735849056603776,3.925703502897275,0.12766358161479516,0.10984449455352183,-23.990964354704595,1.0619650221888275
BRITANNIA,Ascending_Triangle,15,53.333333333333336,15.971544759211989,0.6363119774319075,0.4578899986433585,-7.520171527369674,2.103475689659629
