SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
ADANIGREEN, EQ, 08-Aug-2022,2106.2,2108.5,2183.0,2106.25,2174.0,2165.2,2148.68,1151202,24735.66,60353,349327,30.34
ADANIPORTS, EQ, 08-Aug-2022,810.25,812.9,823.0,795.35,807.0,801.65,809.19,7519923,60850.81,121460,1680896,22.35
ADANIPOWER, EQ, 08-Aug-2022,332.05,328.4,334.65,322.05,328.4,328.6,328.88,9539478,31373.75,115739,3971075,41.63
ADANITRANS, EQ, 08-Aug-2022,3313.55,3314.0,3474.0,3261.0,3442.0,3447.35,3389.89,458387,15538.82,40315,95113,20.75
ADFFOODS, EQ, 08-Aug-2022,719.1,720.0,726.95,708.0,710.0,712.0,718.25,12020,86.33,1080,6077,50.56
ADL, BE, 08-Aug-2022,58.05,59.1,59.15,56.4,59.15,59.15,58.78,217,0.13,13, -, -
ADORWELD, EQ, 08-Aug-2022,769.55,789.9,789.9,764.45,775.0,776.8,776.73,8554,66.44,1220,4907,57.36
ADROITINFO, BE, 08-Aug-2022,16.55,17.2,17.2,15.8,16.05,16.1,16.46,19301,3.18,122, -, -
ADSL, EQ, 08-Aug-2022,121.9,124.0,124.0,120.55,122.6,121.8,122.34,127298,155.73,2640,77786,61.11
ADVANIHOTR, EQ, 08-Aug-2022,79.65,80.0,81.6,78.0,78.6,79.1,79.93,52798,42.2,1044,26552,50.29
ADVENZYMES, EQ, 08-Aug-2022,292.7,286.2,287.9,277.65,279.15,278.8,280.33,133493,374.22,6376,63660,47.69
AEGISCHEM, EQ, 08-Aug-2022,265.05,263.0,290.25,262.0,287.1,288.05,284.08,4356214,12375.32,56118,1438982,33.03
AETHER, EQ, 08-Aug-2022,824.6,833.0,837.0,817.75,819.6,821.65,827.67,56303,466.01,5109,23263,41.32
AFFLE, EQ, 08-Aug-2022,1099.25,1114.95,1125.3,1075.6,1100.0,1106.35,1099.36,487382,5358.08,27394,209548,42.99
AGARIND, EQ, 08-Aug-2022,623.1,630.15,648.0,611.6,626.1,622.15,626.66,227944,1428.44,9320,163594,71.77
AGI, EQ, 08-Aug-2022,273.15,274.1,279.2,270.1,272.6,272.45,274.54,86918,238.62,2832,41590,47.85
AGNI, ST, 08-Aug-2022,27.1,25.75,25.75,25.75,25.75,25.75,25.75,40000,10.3,3,40000,100
AGRITECH, BE, 08-Aug-2022,87.65,91.5,91.5,86.05,90.0,91.4,90.23,8791,7.93,116, -, -
AGROPHOS, EQ, 08-Aug-2022,33.6,34.0,34.95,30.25,32.6,32.3,32.06,234263,75.1,1457,83267,35.54
AGSTRA, EQ, 08-Aug-2022,84.85,88.0,98.4,88.0,90.5,90.8,92.77,2580214,2393.58,30094,749400,29.04
AHLADA, EQ, 08-Aug-2022,87.0,88.6,90.85,87.15,90.85,90.4,89.96,12981,11.68,215,7982,61.49
AHLEAST, EQ, 08-Aug-2022,240.3,242.5,245.0,235.55,244.0,240.05,241.76,3232,7.81,152,2045,63.27
AHLUCONT, EQ, 08-Aug-2022,457.2,462.0,469.95,447.45,452.65,452.1,457.28,24853,113.65,1069,10850,43.66
AIAENG, EQ, 08-Aug-2022,2378.9,2378.05,2417.9,2363.3,2397.25,2395.25,2397.41,27810,666.72,6286,14316,51.48
AIRAN, EQ, 08-Aug-2022,19.9,20.05,20.4,19.8,20.25,20.25,20.23,217647,44.04,1272,151458,69.59
AIROLAM, EQ, 08-Aug-2022,66.05,65.85,67.8,64.5,65.35,65.8,66.16,16925,11.2,436,8818,52.1
AIRTELPP, E1, 08-Aug-2022,313.25,315.0,318.95,310.0,317.85,317.4,315.63,369659,1166.77,2893,316091,85.51
