category,tercile,era,window,N,mean_car,median_car,std_car,t_stat,p_value,pct_positive,fdr_survivor
Newspaper Advertisements,t3,2020-2022,5d,567,-0.0010733609867096415,-0.0024264390941377556,0.04341021723719873,-0.5887695977386649,0.556015842939237,47.97178130511463,False
OTHER,t1,2020-2022,20d,4346,-0.0031679294306146476,-0.01848468914242074,0.13036641897597526,-1.601970902559746,0.10916204403096035,41.69351127473539,False
OTHER,t1,2020-2022,2d,4346,-0.004573008152373658,-0.008773697528891733,0.038850847413897875,-7.7597251811684815,8.511361707872268e-15,38.44914864242982,True
OTHER,t1,2020-2022,5d,4346,-0.0046006025122951625,-0.011215605269151052,0.06261256669321204,-4.843932313863993,1.2729431228180761e-06,40.86516336861482,True
OTHER,t1,2023-2024,20d,2103,0.0030075713600331154,-0.017946616596772547,0.12241740037756432,1.1266588285270738,0.2598867560407251,42.558250118877794,False
OTHER,t1,2023-2024,2d,2103,-0.002945876522564975,-0.006955523579200706,0.03606433566253944,-3.7459005157082315,0.00017974781860005407,40.22824536376605,True
OTHER,t1,2023-2024,5d,2103,-0.0017295982287546434,-0.010301381167396428,0.05923197281413347,-1.3390866194286257,0.18054247594273043,42.17784117926771,False
OTHER,t1,2025-2026,20d,2515,0.0036345573250513913,-0.012974794345150586,0.1193665715640831,1.526995641507884,0.1267620951716981,44.6520874751491,False
OTHER,t1,2025-2026,2d,2515,-0.0019605364483657513,-0.004225281333922637,0.03811571069426242,-2.5795259039486313,0.009893603805311886,43.658051689860834,True
OTHER,t1,2025-2026,5d,2515,-0.0011808376469328598,-0.007185680070039835,0.05905326294327797,-1.0028022186713417,0.3159562981541486,43.618290258449306,False
OTHER,t2,2020-2022,20d,2642,-0.013864253082956596,-0.021339482904699114,0.09981156137626981,-7.1397340475226985,9.351166861417824e-13,40.196820590461776,True
OTHER,t2,2020-2022,2d,2642,-0.004043570504456752,-0.006104361719694751,0.03427799295162244,-6.063397515431878,1.332757177008789e-09,40.91597274791825,True
OTHER,t2,2020-2022,5d,2642,-0.006824733698348858,-0.010141420635445098,0.051045497382441615,-6.87218237869788,6.322704568982599e-12,39.96971990915973,True
OTHER,t2,2023-2024,20d,2063,-0.011969993290495222,-0.02282880797231135,0.1040147780898516,-5.226951544802946,1.7232763819991697e-07,39.16626272418808,True
OTHER,t2,2023-2024,2d,2063,-0.00391818455289112,-0.0056594723417131565,0.03241669592166328,-5.489916700758323,4.0212334366663977e-08,41.54144449830344,True
OTHER,t2,2023-2024,5d,2063,-0.007129016958787045,-0.010391515061601186,0.0508965965331786,-6.361953930497666,1.9920319742230282e-10,39.40862821134271,True
OTHER,t2,2025-2026,20d,2803,-0.009726603789558681,-0.013106512293649564,0.09291247054458505,-5.542411487242176,2.98334217553865e-08,43.06100606493043,True
OTHER,t2,2025-2026,2d,2803,-0.0034955754052742884,-0.0057176750492569095,0.034450662979960744,-5.371958387480502,7.788608499163203e-08,41.27720299678915,True
OTHER,t2,2025-2026,5d,2803,-0.006300725447515277,-0.007975985515630724,0.04916978008745328,-6.784281171018054,1.1666592122546128e-11,40.84909026043525,True
OTHER,t3,2020-2022,20d,2897,-0.019740046885675034,-0.024199684497926532,0.0964618555153621,-11.01455144777679,3.251520977829492e-28,38.90231273731447,True
OTHER,t3,2020-2022,2d,2897,-0.002794197896188832,-0.005018471812050063,0.035219156798548756,-4.270241676711116,1.952612645316598e-05,42.07801173627891,True
OTHER,t3,2020-2022,5d,2897,-0.005099449758681785,-0.007118367086352828,0.050051974609569616,-5.483733609753127,4.164417208179277e-08,42.83741801863997,True
OTHER,t3,2023-2024,20d,1830,-0.01599626712882236,-0.02437681771195055,0.0900130135088685,-7.602193005839775,2.911540581531629e-14,37.10382513661202,True
OTHER,t3,2023-2024,2d,1830,-0.0038610828189749595,-0.006524304298370254,0.029861565839263235,-5.53123467976618,3.179845566835613e-08,37.923497267759565,True
OTHER,t3,2023-2024,5d,1830,-0.0061989663515958785,-0.008592504271672685,0.04581692641551138,-5.787871389637579,7.1283954558976775e-09,40.16393442622951,True
OTHER,t3,2025-2026,20d,2260,-0.003942960389940295,-0.008836372392230285,0.08785170894014567,-2.1336659165636678,0.03287013796749103,44.64601769911504,True
OTHER,t3,2025-2026,2d,2260,-0.001753176771055952,-0.002678924144134287,0.028104196117644746,-2.96557396237567,0.003021186897560753,45.79646017699115,True
OTHER,t3,2025-2026,5d,2260,-0.002757287506873411,-0.004167645344153259,0.0423647138007672,-3.094083257644503,0.001974220757934296,45.57522123893805,True
Outcome of Board Meeting,t1,2020-2022,20d,1941,-0.0035593912886476967,-0.02560059143967519,0.13181796957049222,-1.1896354111953789,0.2341897214808243,39.46419371458011,False
Outcome of Board Meeting,t1,2020-2022,2d,1941,-0.005924770692284408,-0.011547595028374547,0.04516014784771077,-5.780014914199208,7.469400355409652e-09,36.57908294693457,True
Outcome of Board Meeting,t1,2020-2022,5d,1941,-0.005393187584246426,-0.0145024847818358,0.0682456790374196,-3.481634157288012,0.0004983640660258555,37.66099948480165,True
